Date,CodeProduit,Pays,sales_number
2023-11-11,2 trans,norvège,0.0
2023-11-11,rge,irlande,0.0
2023-11-11,2x,singapour,0.0
2023-11-11,aviary,danemark,0.0
2023-11-11,2x,croatia,0.0
2023-11-11,2x,norvège,0.0
2023-11-11,aviary,france,0.0
2023-11-11,3x,slovaquie,0.0
2023-11-11,2x,pays-bas,0.0
2023-11-11,bag,royaume-uni,0.0
2023-11-11,2x,australie,0.0
2023-11-11,1x,pays-bas,0.0
2023-11-11,1 trans,USA,0.0
2023-11-11,rge,danemark,0.0
2023-11-11,slid,espagne,0.0
2023-11-11,1x,japon,0.0
2023-11-11,2x,danemark,0.0
2023-11-11,moulin,canada,0.0
2023-11-11,2x,autriche,0.0
2023-11-11,1x,south korea,0.0
2023-11-11,2 trans,kuwait,0.0
2023-11-11,1x,oman,0.0
2023-11-11,3x,russie,0.0
2023-11-11,1x,cyprus,0.0
2023-11-11,2x,oman,0.0
2023-11-11,oliv,espagne,0.0
2023-11-11,1x,thailande,0.0
2023-11-11,lot,république tchèque,0.0
2023-11-11,dsmlt,mexique,0.0
2023-11-11,smlt,mexique,0.0
2023-11-11,3x,mexique,0.0
2023-11-11,new red,USA,0.0
2023-11-11,1 trans,royaume-uni,0.0
2023-11-11,1x,suisse,0.0
2023-11-11,1 trans,italie,0.0
2023-11-11,oliv,italie,0.0
2023-11-11,2 trans,grèce,0.0
2023-11-11,new red,hongrie,0.0
2023-11-11,1 trans,suède,0.0
2023-11-11,1 trans,united kingdom,0.0
2023-11-11,oliv,norvège,0.0
2023-11-11,smlt,pays-bas,0.0
2023-11-11,dsmlt,croatie,0.0
2023-11-11,1x,autriche,0.0
2023-11-11,1x,danemark,0.0
2023-11-11,quail,canada,0.0
2023-11-11,bssd,USA,0.0
2023-11-11,2 trans,qatar,0.0
2023-11-11,lot,mexique,0.0
2023-11-11,3x,kuwait,0.0
2023-11-11,new red,danemark,0.0
2023-11-11,new red,canada,0.0
2023-11-11,quail,allemagne,0.0
2023-11-11,1 trans,espagne,0.0
2023-11-11,slid,france,0.0
2023-11-11,new red,france,0.0
2023-11-11,1 trans,australie,0.0
2023-11-11,1 trans,grèce,0.0
2023-11-11,slid,mexique,0.0
2023-11-11,1 trans,irlande,0.0
2023-11-11,quail,japon,0.0
2023-11-11,1 trans,belgique,0.0
2023-11-11,1 trans,canada,0.0
2023-11-11,dsmlt,norvège,0.0
2023-11-11,1 trans,qatar,0.0
2023-11-11,1 trans,suisse,0.0
2023-11-11,dsmlt,croatia,0.0
2023-11-11,2x,kuwait,0.0
2023-11-11,slid,canada,0.0
2023-11-11,new red,mexique,0.0
2023-11-11,1x,finlande,0.0
2023-11-11,bssd,espagne,0.0
2023-11-11,2 trans,arabie saoudite,0.0
2023-11-11,quail,afrique de sud,0.0
2023-11-11,1 trans,allemagne,0.0
2023-11-11,dsmlt,liban,0.0
2023-11-11,2 trans,mexique,0.0
2023-11-11,bssd,japon,0.0
2023-11-11,2 trans,japon,0.0
2023-11-11,2x,arabie saoudite,0.0
2023-11-11,smlt,portugal,0.0
2023-11-11,3x,qatar,0.0
2023-11-11,new red,qatar,0.0
2023-11-11,slid,qatar,0.0
2023-11-11,bssd,canada,0.0
2023-11-11,1 trans invoiced,USA,0.0
2023-11-11,1 trans invoiced,italie,0.0
2023-11-11,1 trans invoiced,united kingdom,0.0
2023-11-11,1 trans invoiced,allemagne,0.0
2023-11-11,2 trans,suisse,0.0
2023-11-11,lot,oman,0.0
2023-11-11,1 trans invoiced,france,0.0
2023-11-11,bssd,france,0.0
2023-11-11,rge,suède,0.0
2023-11-11,1x,croatia,0.0
2023-11-11,smlt,kuwait,0.0
2023-11-11,smlt,danemark,0.0
2023-11-11,bssd,australie,0.0
2023-11-11,new red,united kingdom,0.0
2023-11-12,lot,royaume-uni,0.0
2023-11-12,smlt,royaume-uni,0.0
2023-11-12,dsmlt,USA,0.0
2023-11-12,2x,royaume-uni,0.0
2023-11-12,2x,italie,0.0
2023-11-12,2 trans,france,0.0
2023-11-12,lot,france,0.0
2023-11-12,1x,france,0.0
2023-11-12,dsmlt,france,0.0
2023-11-12,3x,irlande,0.0
2023-11-12,smlt,italie,0.0
2023-11-12,2 trans,USA,0.0
2023-11-12,lot,pays-bas,0.0
2023-11-12,smlt,grèce,0.0
2023-11-12,dsmlt,royaume-uni,0.0
2023-11-12,smlt,canada,0.0
2023-11-12,3x,australie,0.0
2023-11-12,dsmlt,allemagne,0.0
2023-11-12,smlt,france,0.0
2023-11-12,3x,USA,0.0
2023-11-12,3x,allemagne,0.0
2023-11-12,3x,france,0.0
2023-11-12,lot,USA,0.0
2023-11-12,smlt,USA,0.0
2023-11-12,3x,royaume-uni,0.0
2023-11-12,smlt,espagne,0.0
2023-11-12,2x,belgique,0.0
2023-11-12,dsmlt,chypre,0.0
2023-11-12,smlt,chypre,0.0
2023-11-12,dsmlt,danemark,0.0
2023-11-12,moulin,france,0.0
2023-11-12,rge,belgique,0.0
2023-11-12,1x,USA,0.0
2023-11-12,dsmlt,hong kong,0.0
2023-11-12,smlt,hong kong,0.0
2023-11-12,rge,royaume-uni,0.0
2023-11-12,1x,italie,0.0
2023-11-12,1x,belgique,0.0
2023-11-12,lot,grèce,0.0
2023-11-12,2x,france,0.0
2023-11-12,rge,france,0.0
2023-11-12,bag,france,0.0
2023-11-12,dsmlt,italie,0.0
2023-11-12,2x,malte,0.0
2023-11-12,3x,espagne,0.0
2023-11-12,2 trans,belgique,0.0
2023-11-12,2 trans,royaume-uni,0.0
2023-11-12,lot,united kingdom,0.0
2023-11-12,lot,italie,0.0
2023-11-12,3x,italie,0.0
2023-11-12,dsmlt,espagne,0.0
2023-11-12,oliv,france,0.0
2023-11-12,smlt,belgique,0.0
2023-11-12,rge,chili,0.0
2023-11-12,rge,autriche,0.0
2023-11-12,rge,norvège,0.0
2023-11-12,rge,USA,0.0
2023-11-12,smlt,malte,0.0
2023-11-12,3x,belgique,0.0
2023-11-12,1x,royaume-uni,0.0
2023-11-12,2x,USA,0.0
2023-11-12,1x,irlande,0.0
2023-11-12,dsmlt,emirats arabes unis,0.0
2023-11-12,1x,malte,0.0
2023-11-12,1x,allemagne,0.0
2023-11-12,bag,canada,0.0
2023-11-12,3x,croatie,0.0
2023-11-12,lot,australie,0.0
2023-11-12,2 trans,italie,0.0
2023-11-12,3x,suède,0.0
2023-11-12,2 trans,irlande,0.0
2023-11-12,2 trans,allemagne,0.0
2023-11-12,smlt,république tchèque,0.0
2023-11-12,1x,espagne,0.0
2023-11-12,smlt,hongrie,0.0
2023-11-12,2x,chypre,0.0
2023-11-12,2x,qatar,0.0
2023-11-12,lot,allemagne,0.0
2023-11-12,dsmlt,grèce,0.0
2023-11-12,dsmlt,irlande,0.0
2023-11-12,lot,irlande,0.0
2023-11-12,rge,allemagne,0.0
2023-11-12,smlt,koweït,0.0
2023-11-12,1x,australie,0.0
2023-11-12,dsmlt,belgique,0.0
2023-11-12,smlt,allemagne,0.0
2023-11-12,3x,luxembourg,0.0
2023-11-12,smlt,nouvelle-zélande,0.0
2023-11-12,quail,USA,0.0
2023-11-12,rge,canada,0.0
2023-11-12,3x,canada,0.0
2023-11-12,3x,autriche,0.0
2023-11-12,3x,nouvelle-zélande,0.0
2023-11-12,2x,canada,0.0
2023-11-12,bag,USA,0.0
2023-11-12,lot,chypre,0.0
2023-11-12,3x,finland,0.0
2023-11-12,bag,allemagne,0.0
2023-11-12,3x,nouvelle-calédonie,0.0
2023-11-12,lot,nouvelle-zélande,0.0
2023-11-12,rge,malaisie,0.0
2023-11-12,smlt,norvège,0.0
2023-11-12,2 trans,slovénie,0.0
2023-11-12,bag,italie,0.0
2023-11-12,2x,afrique de sud,0.0
2023-11-12,2 trans,afrique de sud,0.0
2023-11-12,2x,cyprus,0.0
2023-11-12,dsmlt,australie,0.0
2023-11-12,2 trans,koweït,0.0
2023-11-12,lot,koweït,0.0
2023-11-12,3x,koweït,0.0
2023-11-12,dsmlt,arabie saoudite,0.0
2023-11-12,3x,danemark,0.0
2023-11-12,2x,turquie,0.0
2023-11-12,dsmlt,pays-bas,0.0
2023-11-12,3x,arabie saoudite,0.0
2023-11-12,3x,suisse,0.0
2023-11-12,3x,chypre,0.0
2023-11-12,smlt,liban,0.0
2023-11-12,lot,canada,0.0
2023-11-12,quail,royaume-uni,0.0
2023-11-12,lot,malaisie,0.0
2023-11-12,rge,slovénie,0.0
2023-11-12,rge,australie,0.0
2023-11-12,1x,canada,0.0
2023-11-12,smlt,australie,0.0
2023-11-12,rge,pologne,0.0
2023-11-12,3x,cyprus,0.0
2023-11-12,2x,lituanie,0.0
2023-11-12,2x,irlande,0.0
2023-11-12,rge,emirats arabes unis,0.0
2023-11-12,rge,cyprus,0.0
2023-11-12,rge,grèce,0.0
2023-11-12,dsmlt,canada,0.0
2023-11-12,smlt,bulgarie,0.0
2023-11-12,1x,chypre,0.0
2023-11-12,3x,emirats arabes unis,0.0
2023-11-12,rge,corée du sud,0.0
2023-11-12,smlt,suède,0.0
2023-11-12,2x,espagne,0.0
2023-11-12,2x,suède,0.0
2023-11-12,2x,bulgarie,0.0
2023-11-12,3x,norvège,0.0
2023-11-12,smlt,chili,0.0
2023-11-12,rge,singapour,0.0
2023-11-12,smlt,roumanie,0.0
2023-11-12,1x,portugal,0.0
2023-11-12,moulin,royaume-uni,0.0
2023-11-12,smlt,suisse,0.0
2023-11-12,2 trans,emirats arabes unis,0.0
2023-11-12,dsmlt,nouvelle-zélande,0.0
2023-11-12,2 trans,nouvelle-zélande,0.0
2023-11-12,bag,pologne,0.0
2023-11-12,dsmlt,malte,0.0
2023-11-12,dsmlt,estonie,0.0
2023-11-12,lot,estonie,0.0
2023-11-12,3x,estonie,0.0
2023-11-12,rge,oman,0.0
2023-11-12,3x,finlande,0.0
2023-11-12,2x,allemagne,0.0
2023-11-12,2x,nouvelle-zélande,0.0
2023-11-12,3x,malte,0.0
2023-11-12,2x,finlande,0.0
2023-11-12,oliv,malte,0.0
2023-11-12,3x,united kingdom,0.0
2023-11-12,dsmlt,united kingdom,0.0
2023-11-12,bag,latvia,0.0
2023-11-12,smlt,united kingdom,0.0
2023-11-12,2 trans,espagne,0.0
2023-11-12,oliv,USA,0.0
2023-11-12,2 trans,united kingdom,0.0
2023-11-12,1x,united kingdom,0.0
2023-11-12,rge,italie,0.0
2023-11-12,rge,united kingdom,0.0
2023-11-12,3x,hongrie,0.0
2023-11-12,lot,brunei,0.0
2023-11-12,2 trans,luxembourg,0.0
2023-11-12,smlt,russie,0.0
2023-11-12,smlt,arabie saoudite,0.0
2023-11-12,quail,norvège,0.0
2023-11-12,rge,espagne,0.0
2023-11-12,quail,united kingdom,0.0
2023-11-12,1x,suède,0.0
2023-11-12,bag,roumanie,0.0
2023-11-12,smlt,croatia,0.0
2023-11-12,3x,république tchèque,0.0
2023-11-12,rge,arabie saoudite,0.0
2023-11-12,lot,portugal,0.0
2023-11-12,2x,united kingdom,0.0
2023-11-12,smlt,cyprus,0.0
2023-11-12,oliv,united kingdom,0.0
2023-11-12,dsmlt,suède,0.0
2023-11-12,1x,finland,0.0
2023-11-12,1x,arabie saoudite,0.0
2023-11-12,bag,united kingdom,0.0
2023-11-12,2 trans,malte,0.0
2023-11-12,2x,suisse,0.0
2023-11-12,smlt,irlande,0.0
2023-11-12,rge,finlande,0.0
2023-11-12,lot,belgique,0.0
2023-11-12,smlt,finlande,0.0
2023-11-12,2 trans,canada,0.0
2023-11-12,slid,USA,0.0
2023-11-12,aviary,USA,0.0
2023-11-12,2 trans,australie,0.0
2023-11-12,slid,royaume-uni,0.0
2023-11-12,oliv,royaume-uni,0.0
2023-11-12,rge,argentine,0.0
2023-11-12,rge,suisse,0.0
2023-11-12,2 trans,suède,0.0
2023-11-12,aviary,canada,0.0
2023-11-12,aviary,norvège,0.0
2023-11-12,smlt,oman,0.0
2023-11-12,1 trans,france,0.0
2023-11-12,quail,australie,0.0
2023-11-12,2 trans,norvège,0.0
2023-11-12,rge,irlande,0.0
2023-11-12,2x,singapour,0.0
2023-11-12,aviary,danemark,0.0
2023-11-12,2x,croatia,0.0
2023-11-12,2x,norvège,0.0
2023-11-12,aviary,france,0.0
2023-11-12,3x,slovaquie,0.0
2023-11-12,2x,pays-bas,0.0
2023-11-12,bag,royaume-uni,0.0
2023-11-12,2x,australie,0.0
2023-11-12,1x,pays-bas,0.0
2023-11-12,1 trans,USA,0.0
2023-11-12,rge,danemark,0.0
2023-11-12,slid,espagne,0.0
2023-11-12,1x,japon,0.0
2023-11-12,2x,danemark,0.0
2023-11-12,moulin,canada,0.0
2023-11-12,2x,autriche,0.0
2023-11-12,1x,south korea,0.0
2023-11-12,2 trans,kuwait,0.0
2023-11-12,1x,oman,0.0
2023-11-12,3x,russie,0.0
2023-11-12,1x,cyprus,0.0
2023-11-12,2x,oman,0.0
2023-11-12,oliv,espagne,0.0
2023-11-12,1x,thailande,0.0
2023-11-12,lot,république tchèque,0.0
2023-11-12,dsmlt,mexique,0.0
2023-11-12,smlt,mexique,0.0
2023-11-12,3x,mexique,0.0
2023-11-12,new red,USA,0.0
2023-11-12,1 trans,royaume-uni,0.0
2023-11-12,1x,suisse,0.0
2023-11-12,1 trans,italie,0.0
2023-11-12,oliv,italie,0.0
2023-11-12,2 trans,grèce,0.0
2023-11-12,new red,hongrie,0.0
2023-11-12,1 trans,suède,0.0
2023-11-12,1 trans,united kingdom,0.0
2023-11-12,oliv,norvège,0.0
2023-11-12,smlt,pays-bas,0.0
2023-11-12,dsmlt,croatie,0.0
2023-11-12,1x,autriche,0.0
2023-11-12,1x,danemark,0.0
2023-11-12,quail,canada,0.0
2023-11-12,bssd,USA,0.0
2023-11-12,2 trans,qatar,0.0
2023-11-12,lot,mexique,0.0
2023-11-12,3x,kuwait,0.0
2023-11-12,new red,danemark,0.0
2023-11-12,new red,canada,0.0
2023-11-12,quail,allemagne,0.0
2023-11-12,1 trans,espagne,0.0
2023-11-12,slid,france,0.0
2023-11-12,new red,france,0.0
2023-11-12,1 trans,australie,0.0
2023-11-12,1 trans,grèce,0.0
2023-11-12,slid,mexique,0.0
2023-11-12,1 trans,irlande,0.0
2023-11-12,quail,japon,0.0
2023-11-12,1 trans,belgique,0.0
2023-11-12,1 trans,canada,0.0
2023-11-12,dsmlt,norvège,0.0
2023-11-12,1 trans,qatar,0.0
2023-11-12,1 trans,suisse,0.0
2023-11-12,dsmlt,croatia,0.0
2023-11-12,2x,kuwait,0.0
2023-11-12,slid,canada,0.0
2023-11-12,new red,mexique,0.0
2023-11-12,1x,finlande,0.0
2023-11-12,bssd,espagne,0.0
2023-11-12,2 trans,arabie saoudite,0.0
2023-11-12,quail,afrique de sud,0.0
2023-11-12,1 trans,allemagne,0.0
2023-11-12,dsmlt,liban,0.0
2023-11-12,2 trans,mexique,0.0
2023-11-12,bssd,japon,0.0
2023-11-12,2 trans,japon,0.0
2023-11-12,2x,arabie saoudite,0.0
2023-11-12,smlt,portugal,0.0
2023-11-12,3x,qatar,0.0
2023-11-12,new red,qatar,0.0
2023-11-12,slid,qatar,0.0
2023-11-12,bssd,canada,0.0
2023-11-12,1 trans invoiced,USA,0.0
2023-11-12,1 trans invoiced,italie,0.0
2023-11-12,1 trans invoiced,united kingdom,0.0
2023-11-12,1 trans invoiced,allemagne,0.0
2023-11-12,2 trans,suisse,0.0
2023-11-12,lot,oman,0.0
2023-11-12,1 trans invoiced,france,0.0
2023-11-12,bssd,france,0.0
2023-11-12,rge,suède,0.0
2023-11-12,1x,croatia,0.0
2023-11-12,smlt,kuwait,0.0
2023-11-12,smlt,danemark,0.0
2023-11-12,bssd,australie,0.0
2023-11-12,new red,united kingdom,0.0
2023-11-13,lot,royaume-uni,0.0
2023-11-13,smlt,royaume-uni,0.0
2023-11-13,dsmlt,USA,0.0
2023-11-13,2x,royaume-uni,0.0
2023-11-13,2x,italie,0.0
2023-11-13,2 trans,france,0.0
2023-11-13,lot,france,0.0
